name, url
Air, https://www.dropbox.com/s/5qxlqvhqns4sbzu/Air.jpg?dl=1
Al Green, https://www.dropbox.com/s/z481te7q78uge61/Al%20Green.jpg?dl=1
Clã, https://www.dropbox.com/s/i1qsq2zc0s7i1r4/Cl%C3%A3.jpg?dl=1
Daft Punk, https://www.dropbox.com/s/yrac51dd8tiu9rm/Daft%20Punk.jpg?dl=1
Fausto, https://www.dropbox.com/s/7ik9vyc5wlvdeq3/Fausto.jpg?dl=1
Herbie Hancock, https://www.dropbox.com/s/aohpq66si0zt5k3/Herbie.jpg?dl=1
Kraftwerk, https://www.dropbox.com/s/s68od7fpftkvrul/kraftwerk.jpg?dl=1
Led Zeppelin, https://www.dropbox.com/s/vksmhm8y943got7/Led Zeppelin.jpg?dl=1
Miles Davis, https://www.dropbox.com/s/a1ur9qb2jl9nern/Miles Davis.jpg?dl=1
Otis Redding, https://www.dropbox.com/s/8rys8bau41mepk7/Otis Redding.jpg?dl=1
Pat Metheny, https://www.dropbox.com/s/7592a76hd509vid/Pat Metheny.jpg?dl=1
Pat Metheny Group, https://www.dropbox.com/s/f3p13i0kq5k5im0/Pat%20Metheny%20Group.jpg?dl=1
Ray Charles, https://www.dropbox.com/s/krmlaye9dp7w0kg/Ray Charles.jpg?dl=1
Sérgio Godinho, https://www.dropbox.com/s/s7wasnbh8i36aio/S%C3%A9rgio Godinho.jpg?dl=1
The Beach Boys, https://www.dropbox.com/s/cqoliddz0hphrcl/The Beach Boys.jpg?dl=1
The Beatles, https://www.dropbox.com/s/c2pqkcdil0cemlc/The Beatles.jpg?dl=1
