name, url
Air, https://i.ibb.co/fpWzTSG/Air.jpg
Al Green, https://i.ibb.co/PcySsGY/Al-Green.jpg
Clã, https://i.ibb.co/tYhsGht/Cla.jpg
Daft Punk, https://i.ibb.co/0sfb3Gw/Daft-Punk.jpg
Fausto, https://i.ibb.co/Y8pwBp5/Fausto.jpg
Herbie Hancock, https://i.ibb.co/9NYY4Tn/Herbie.jpg
Kraftwerk, https://i.ibb.co/DPdP0wf/Kraftwerk.jpg
Led Zeppelin, https://i.ibb.co/N90tmz4/Led-Zeppelin.jpg
Miles Davis, https://i.ibb.co/zZPLHp6/Miles-Davis.jpg
Otis Redding, https://i.ibb.co/z8h3XMH/Otis-Redding.jpg
Pat Metheny, https://i.ibb.co/wMZpS3q/Pat-Metheny.jpg
Pat Metheny Group, https://i.ibb.co/k8Ln8jZ/Pat-Metheny-Group.jpg
Ray Charles, https://i.ibb.co/BC7GsgG/Ray-Charles.jpg
Sérgio Godinho, https://i.ibb.co/1qG4FRt/Se-rgio-Godinho.jpg
The Beach Boys, https://i.ibb.co/ykK49Rj/The-Beach-Boys.jpg
The Beatles, https://i.ibb.co/R6Xnqzj/The-Beatles.jpg
Elvis Presley, https://studiosol-a.akamaihd.net/tb/letras-blog/wp-content/uploads/2020/08/99f1a5c-elvis-presley-1024x768.jpg
Hiatus Kaiyote, https://media.resources.festicket.com/www/artists/hiatus-kaiyote.jpg
Fleet Foxes, https://studiosol-a.akamaihd.net/uploadfile/letras/fotos/5/5/8/1/5581f1d92c77f4e7f7a87b14dfdfa18a.jpg
Bob Dylan, https://rascunho.com.br/wp-content/uploads/2021/05/bob-dylan-1024x614.jpeg
Philip Glass, https://medicitv-c.imgix.net/artist/philip-glass_uhPi9s0.jpg?auto=format&q=85
Return to Forever, https://i.ibb.co/rFzxW8s/Return-to-Forever.jpg
Sam Gendel, https://img.discogs.com/GQaw-AGze5DJzsDYmcbf4bEvRM8=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/A-2267386-1522298714-7513.jpeg.jpg
Sam Wilkes, https://i1.wp.com/www.passionweiss.com/wp-content/uploads/2019/11/sam-wilkes.jpg
Omie Wise, https://f4.bcbits.com/img/0024667220_10.jpg
Chick Corea, https://static01.nyt.com/images/2021/02/15/arts/12corea-playlist1/12corea-playlist1-mediumSquareAt3X.jpg
